来法国生活时长,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,文化保持,社会保持,文化接触,社会接触,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭沟通频率,沟通坦诚度,自主性,自主性,社会联结感,社会联结感,社会联结感,社会联结感,社会联结感,开放性
16,2,4,3,3,3,3,3,2,6,6,2,3,3,4,2,3,2,5,3,4,4,4,4,4,2,2,2,2,2,5
16,1,2,4,2,3,2,3,3,4,2,2,2,5,5,4,2,3,5,4,4,4,3,2,4,3,4,3,3,2,6
6,3,3,3,4,3,4,3,4,7,6,5,6,5,4,4,4,4,4,4,4,4,5,5,5,4,5,3,5,5,5
8,2,3,3,3,3,4,2,2,6,6,4,4,4,4,4,4,2,4,5,5,3,3,5,4,2,3,5,5,6,6
5,1,4,3,2,2,3,3,4,6,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5
18,2,4,3,4,4,3,4,4,5,6,3,2,4,4,3,2,1,4,5,5,2,3,5,5,5,5,5,6,6,6
30,3,4,3,3,3,3,3,3,7,7,3,4,5,5,4,4,3,4,5,4,3,3,4,4,3,5,4,2,3,5
16,1,4,4,4,3,3,3,3,6,7,5,7,5,5,5,5,5,5,5,5,4,4,5,5,6,4,6,6,6,7
15,1,4,3,4,3,3,3,1,6,4,4,5,3,5,2,1,1,4,1,4,3,3,5,5,3,4,2,3,1,6
16,2,3,3,3,3,3,2,2,6,6,4,3,4,4,4,4,4,5,3,3,4,4,4,4,3,3,3,5,5,6
13,1,3,4,3,3,3,4,3,5,6,4,5,4,4,4,4,2,4,4,5,4,3,5,5,3,4,3,3,3,5
37,2,3,3,3,3,4,3,3,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,5,5,5,5,6
3,3,3,3,3,2,2,3,3,6,6,4,4,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,5,5,6
36,4,4,4,4,4,4,4,4,7,7,5,5,5,4,5,5,5,5,5,5,4,3,5,5,4,4,3,6,4,6
24,1,3,3,3,3,3,3,4,5,5,4,4,4,4,3,3,4,4,5,4,5,3,4,5,5,4,3,3,4,6
12,2,3,4,4,4,4,4,3,7,7,5,7,5,5,5,3,5,4,5,5,3,3,4,5,4,5,5,4,4,7
7,2,3,3,2,2,3,3,3,7,6,4,3,5,4,5,5,4,5,5,5,3,3,4,4,3,4,5,5,5,5
13,2,3,4,4,3,4,3,3,6,6,5,6,4,3,3,4,3,4,5,5,2,4,5,5,4,6,4,6,5,7
15,2,3,4,1,3,3,3,4,7,7,4,6,5,5,4,3,3,5,4,5,4,5,4,5,2,2,3,1,1,7
16,3,3,2,2,2,3,3,3,7,6,4,4,4,4,5,5,3,4,5,5,3,3,2,2,4,4,3,3,3,5
23,2,4,3,3,3,3,3,3,6,7,4,6,5,4,4,4,4,3,3,5,3,3,5,5,3,5,5,5,4,6
30,2,3,3,3,3,3,3,3,5,4,5,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,5
18,2,4,4,3,2,3,4,3,7,7,4,6,5,5,4,5,4,5,4,4,3,3,4,4,2,5,5,5,5,5
30,2,3,3,3,3,3,3,4,6,6,4,4,5,5,5,5,5,5,5,5,2,3,5,4,1,3,3,2,2,5
20,2,3,3,2,3,2,3,2,6,6,4,5,4,4,4,3,3,4,4,4,2,2,4,4,3,4,3,4,5,5
48,3,3,3,3,3,3,3,3,6,4,4,5,4,4,5,4,3,4,3,5,2,2,4,4,3,4,4,5,5,7
17,1,4,3,2,3,3,3,2,4,4,1,3,3,4,1,1,1,3,1,3,2,3,5,5,3,3,3,3,1,1
24,2,3,3,4,4,4,3,2,4,4,5,4,4,3,3,2,2,3,4,4,3,3,4,4,3,5,4,4,3,7
20,2,2,3,2,1,3,3,3,5,3,2,3,5,4,4,4,4,5,4,4,2,4,2,3,2,4,2,3,4,6
24,1,3,3,3,3,3,3,3,7,5,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,5,5,5,4,6
24,1,4,2,1,2,3,2,2,7,7,4,3,3,3,2,4,1,5,5,2,2,2,4,4,2,2,2,2,2,5
48,2,2,3,3,2,3,3,2,4,5,3,3,4,3,1,2,2,4,4,4,2,4,4,4,3,2,2,2,2,6
21,4,4,3,3,3,3,3,3,5,4,5,5,4,5,4,4,4,4,4,3,4,4,5,5,5,5,4,5,4,6
25,2,3,3,2,3,2,3,2,5,3,2,4,4,4,4,3,3,5,4,5,4,3,3,2,2,3,2,2,2,4
9,2,3,3,3,3,3,3,4,6,4,4,6,4,4,4,4,5,5,5,5,3,3,4,4,3,5,4,4,4,5
10,2,3,2,3,3,3,3,3,6,4,5,4,4,4,4,4,4,4,4,4,2,2,4,4,4,5,4,4,4,5
48,4,4,3,3,3,4,3,4,7,6,5,6,4,4,4,3,3,4,3,5,2,3,5,5,6,3,4,4,6,6
36,2,3,2,3,1,3,2,4,6,6,4,4,3,4,5,4,4,4,3,4,4,3,4,4,4,5,5,6,4,4
18,2,4,3,3,3,4,3,1,5,5,5,5,3,3,3,2,1,2,4,4,3,2,5,5,3,5,4,4,3,5
3,2,3,4,3,3,3,3,4,6,6,4,5,4,3,4,4,4,5,3,5,3,3,4,4,4,5,5,5,5,6
12,2,3,2,2,3,2,2,2,6,6,4,5,4,3,4,2,4,4,4,3,2,3,5,4,4,5,3,2,2,6
24,3,3,2,3,3,2,3,2,3,3,4,3,4,4,4,4,4,2,4,4,3,4,4,4,3,3,3,2,3,5
10,2,1,3,4,3,3,3,4,6,6,5,4,5,5,5,5,5,5,5,5,4,3,4,4,5,6,5,4,6,7
26,2,3,3,2,3,2,3,1,4,4,4,4,4,5,4,2,4,5,5,5,3,2,4,4,4,5,2,3,5,6
48,1,2,3,1,1,1,2,4,7,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,1,1
38,4,2,4,3,1,3,2,3,4,4,5,1,4,3,4,4,1,3,3,4,4,1,2,1,5,4,2,5,4,7
12,1,1,2,1,2,2,1,1,2,3,2,4,1,4,3,1,3,1,5,5,3,2,3,3,2,2,2,1,1,7
41,4,4,4,4,4,3,4,3,1,4,7,6,4,5,5,4,5,5,4,4,5,3,4,3,6,2,4,5,4,5
14,4,4,4,4,3,4,3,2,4,5,5,5,4,4,2,3,5,3,4,2,3,2,3,2,6,4,5,5,6,3
27,3,4,1,3,3,2,1,4,5,1,3,3,2,3,3,4,1,1,3,1,2,1,2,1,5,5,3,3,3,6
46,4,4,4,4,4,4,4,3,3,6,5,5,5,5,4,4,2,5,3,2,3,4,2,2,2,3,2,3,6,6
15,1,2,1,1,3,4,2,1,1,4,2,4,4,2,2,1,3,2,3,4,4,2,4,3,2,3,3,3,3,4
44,4,4,4,4,3,4,2,4,2,5,6,6,5,4,4,5,3,5,5,5,3,3,2,2,5,4,5,5,4,4
30,3,2,3,4,3,4,2,3,4,5,4,5,4,3,4,4,4,3,3,5,4,2,3,4,6,4,4,5,5,5
42,2,4,3,3,4,4,3,4,4,5,7,5,5,5,2,5,1,5,5,5,5,4,5,4,6,6,4,5,6,5
12,2,1,2,3,4,2,2,3,7,6,4,2,4,3,3,3,5,2,2,5,5,2,3,2,2,3,3,3,2,7
3,3,2,4,2,2,2,4,3,6,6,2,5,4,4,3,5,5,5,3,5,4,5,5,5,2,3,4,2,3,2
4,2,3,4,4,3,3,2,4,5,6,1,1,5,4,5,5,4,3,2,2,4,4,3,4,1,3,4,3,3,7
16,4,4,1,3,2,3,3,3,7,4,5,3,4,3,4,4,3,2,3,3,2,2,3,3,3,2,5,4,5,6
28,3,4,1,2,4,3,4,3,5,4,4,7,5,5,5,3,5,2,3,4,3,4,4,2,4,4,5,6,6,5
7,1,1,2,1,3,3,4,4,7,7,1,1,2,5,3,5,5,3,5,3,4,5,5,5,4,4,3,4,4,4
12,2,1,2,3,3,1,3,4,5,6,2,1,2,1,3,5,4,5,5,4,3,5,4,3,3,5,2,4,4,4
28,1,4,2,4,4,3,4,3,4,7,5,7,5,3,5,3,4,4,4,5,3,3,4,4,3,3,3,4,3,5
41,2,4,4,4,4,3,3,3,3,6,7,5,5,4,5,5,1,4,2,5,4,4,3,3,6,3,6,6,5,5
13,3,3,4,2,4,4,3,4,6,7,7,5,5,4,3,4,3,4,4,5,4,4,2,2,5,4,3,3,6,6
38,4,3,2,1,4,2,2,3,7,7,4,6,5,5,4,5,4,2,2,4,4,3,4,5,4,3,3,3,2,5
9,2,3,3,2,3,3,2,4,5,4,1,2,5,3,5,4,4,3,2,1,3,3,4,4,3,5,5,5,3,5
35,1,3,4,4,3,4,4,2,4,4,6,4,4,5,5,2,2,4,5,4,3,3,3,2,3,6,3,5,6,5
29,1,3,2,3,1,1,2,4,2,4,3,1,3,1,3,4,4,3,5,4,3,4,5,5,4,3,1,3,3,4
31,1,3,4,2,4,3,2,3,5,3,5,6,2,3,4,5,5,1,5,3,3,4,2,2,3,6,4,4,5,5
46,4,3,4,4,1,3,4,4,6,5,6,5,3,5,4,4,4,4,2,4,5,3,5,4,5,5,6,5,4,6
19,1,2,2,1,2,1,1,2,3,3,3,2,1,4,4,3,4,3,2,3,1,2,3,4,2,1,2,1,2,5
28,3,4,4,4,1,3,2,4,7,6,6,5,3,5,3,5,5,5,3,5,2,3,2,2,5,5,2,3,5,5
31,4,4,3,4,1,4,4,3,4,5,7,4,3,5,2,4,3,5,5,4,4,3,4,2,5,1,5,5,2,5
27,4,2,3,3,4,4,3,3,5,5,4,6,5,5,5,4,5,5,4,5,2,5,4,3,5,4,5,6,3,2
9,1,2,1,3,2,3,3,3,5,1,4,1,2,4,1,4,1,2,2,5,1,1,3,2,2,2,6,1,1,4
45,3,2,2,3,4,2,2,4,4,4,3,6,5,4,2,5,5,3,3,2,5,3,4,2,3,3,5,4,4,4
9,3,3,3,1,4,2,2,4,5,7,1,1,5,5,5,4,4,3,3,5,3,4,3,3,3,2,3,3,4,5
18,2,2,1,1,1,3,1,2,1,2,3,2,1,3,3,1,3,2,3,2,2,3,4,3,3,4,6,3,3,2
24,3,2,1,3,3,1,2,3,3,3,3,3,3,1,1,2,3,2,5,3,2,2,3,2,1,4,3,3,1,6
44,3,2,4,4,2,2,1,3,1,2,7,3,4,5,4,3,4,1,5,3,3,1,3,3,5,6,4,6,4,5
4,3,1,4,1,3,1,3,4,7,5,3,1,5,4,3,5,5,4,4,4,3,4,3,4,4,3,3,4,2,7
48,3,4,4,4,4,3,4,4,7,2,6,3,5,5,4,3,5,2,1,5,4,3,4,4,2,3,4,6,6,7
9,2,2,2,2,2,4,1,1,1,1,3,2,2,1,2,2,5,1,3,2,3,2,2,2,2,1,1,3,1,5
5,1,2,3,4,1,4,1,2,6,3,1,1,5,5,3,4,4,3,4,3,3,3,3,3,2,3,6,4,4,4
17,4,4,4,4,4,2,3,3,5,6,6,7,2,2,5,3,3,5,5,5,5,2,4,4,3,6,3,5,2,7
42,4,4,2,4,2,4,3,4,3,3,4,5,5,4,2,5,4,4,5,5,4,5,4,5,4,4,5,6,4,3
42,3,3,4,4,4,4,2,3,6,4,5,7,2,3,5,3,2,4,5,5,3,3,4,4,6,6,6,6,6,5
22,3,4,1,4,4,4,4,4,5,2,7,6,5,4,2,4,3,5,5,5,4,4,3,2,5,5,5,4,5,3
26,1,1,2,2,3,3,3,4,6,4,3,4,1,5,5,5,2,2,2,3,4,3,4,2,2,6,4,5,2,4
38,3,4,2,3,3,3,4,3,5,4,3,6,5,4,5,4,4,4,3,4,4,4,3,4,3,6,6,4,4,3
23,4,1,3,3,2,2,3,4,5,5,5,7,5,4,4,5,2,3,4,3,3,4,3,2,4,5,4,5,5,3
39,4,1,3,3,4,4,4,4,6,3,7,3,2,4,4,4,5,4,3,4,3,3,3,3,6,4,3,3,1,5
11,1,1,2,1,3,3,1,1,1,4,4,3,2,5,2,1,2,1,5,2,3,3,3,3,2,3,5,4,1,4
27,1,3,3,1,2,1,1,2,1,2,4,4,5,1,1,3,5,2,3,1,2,3,3,2,2,1,1,6,1,5
25,3,3,1,2,3,1,1,1,2,2,3,4,1,1,4,1,3,1,3,1,2,3,3,2,3,5,2,2,1,4
15,3,1,1,1,4,3,2,3,3,4,1,5,3,2,3,4,3,1,3,3,2,2,3,3,6,2,3,3,1,7
28,3,2,4,4,3,3,4,4,3,4,5,4,5,4,2,5,5,5,5,4,4,5,3,2,6,6,5,5,3,4
30,4,1,4,3,4,4,4,4,5,4,6,5,5,4,5,4,4,3,3,4,4,4,3,3,6,2,2,6,4,7
47,4,3,4,3,3,2,3,3,3,6,7,3,3,5,3,5,5,3,4,4,4,3,4,4,4,4,6,4,4,6
19,4,3,3,4,3,3,4,3,3,4,6,7,1,5,5,4,5,5,4,5,4,4,4,4,6,4,6,5,5,6
26,3,4,3,4,3,3,4,3,5,4,5,5,5,5,5,5,1,4,5,4,3,4,2,2,1,5,5,4,3,6
24,2,3,1,3,3,4,2,4,5,7,6,6,4,3,3,5,4,5,5,5,4,4,5,4,3,4,4,3,6,5
27,1,2,3,2,2,1,1,3,2,4,2,3,3,1,1,4,1,1,1,1,2,1,3,2,6,2,4,4,3,3
6,3,4,4,2,4,2,4,4,7,6,1,3,1,3,3,5,4,5,3,3,1,5,4,3,2,2,3,4,3,6
30,2,4,2,1,3,3,4,4,5,5,5,6,4,4,4,3,2,2,5,2,2,4,4,4,3,3,6,4,5,4
29,3,3,4,4,4,3,3,3,5,4,4,6,4,5,5,3,3,5,5,4,3,5,5,5,5,3,6,5,5,5
45,3,2,1,1,4,3,4,1,4,3,5,5,3,4,2,2,5,2,5,3,1,1,4,3,5,3,3,4,4,3
10,1,1,4,3,1,2,1,1,2,3,1,2,3,4,3,1,1,3,2,3,3,3,4,2,2,1,1,1,3,4
38,4,4,4,4,4,4,4,3,4,2,6,5,1,5,4,4,3,4,5,4,3,4,5,5,5,5,5,4,2,6
12,4,4,4,3,2,3,1,4,4,6,6,6,3,3,3,5,5,4,4,4,5,4,3,3,5,6,5,4,4,6
26,4,2,4,2,3,4,4,1,5,4,4,6,3,5,4,2,1,5,4,5,4,3,5,5,4,4,3,4,6,5
45,1,1,2,4,4,3,3,2,7,5,4,2,4,4,5,3,5,5,4,5,3,3,3,2,3,4,5,4,3,4
22,4,3,4,3,4,4,4,4,7,7,5,6,4,5,5,4,5,2,4,2,4,4,4,4,3,6,6,6,5,5
5,1,2,4,1,1,1,4,4,6,5,3,2,5,4,5,4,3,5,4,5,5,4,4,4,3,3,3,1,3,3
29,3,3,4,3,1,4,3,3,3,5,7,7,5,5,4,4,5,3,3,2,3,4,3,3,5,5,5,4,4,5
24,2,1,4,4,1,3,4,4,4,2,4,4,3,4,3,4,2,5,2,4,3,3,5,5,2,3,6,5,4,3
11,3,2,3,3,3,1,1,3,6,5,1,2,4,4,5,3,5,5,5,3,5,4,4,4,4,5,4,1,5,4
6,2,4,3,2,1,3,1,4,7,7,1,1,3,5,2,5,5,5,3,3,5,5,3,4,3,4,3,1,1,3
17,1,2,3,4,2,1,1,2,5,1,2,1,2,5,1,2,1,3,1,1,1,2,3,3,2,2,6,1,2,5
32,2,4,3,3,4,4,2,4,7,4,6,5,3,4,2,5,5,4,4,3,4,3,3,3,2,4,4,6,6,4
48,4,2,2,4,1,2,4,4,5,5,6,6,5,3,4,5,5,5,4,4,5,2,2,2,6,4,1,6,4,7
