来法国生活时长,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,跨文化适应程度,文化保持,社会保持,文化接触,社会接触,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭支持,家庭沟通频率,沟通坦诚度,自主性,自主性,社会联结感,社会联结感,社会联结感,社会联结感,社会联结感,开放性
26,4,4,4,3,1,4,4,3,4,4,5,5,4,5,2,4,2,5,5,4,2,4,2,1,6,5,3,4,2,5
6,2,1,3,1,2,2,1,2,2,2,3,3,2,1,1,3,2,3,1,2,3,1,3,1,2,6,1,1,3,4
34,3,4,2,3,3,3,3,3,3,3,6,6,5,5,5,4,3,5,4,5,4,4,3,2,6,5,4,3,5,6
2,2,3,2,2,2,2,2,4,5,5,3,1,4,5,3,5,4,2,5,3,4,5,4,4,3,3,5,2,3,4
15,3,4,2,2,3,2,3,4,7,5,5,3,3,1,3,3,3,1,3,3,3,4,2,2,3,2,4,3,4,4
37,4,3,4,4,4,2,4,4,4,2,5,7,5,4,4,5,4,5,3,5,5,4,5,4,6,3,6,3,5,6
42,4,4,2,3,2,4,4,4,3,7,5,5,5,1,5,4,3,5,1,4,4,5,5,5,4,4,6,5,5,2
13,1,2,1,2,4,4,2,4,3,6,5,4,5,4,1,4,2,4,3,3,3,1,4,5,5,5,2,1,4,4
20,1,1,4,2,2,3,3,4,3,5,2,5,5,4,5,5,2,4,5,5,2,2,3,2,2,5,1,6,5,5
36,4,4,4,4,2,3,2,4,4,7,7,6,3,4,2,5,5,4,2,5,3,3,4,5,6,5,5,2,3,5
36,2,4,4,3,4,3,4,4,2,4,4,6,3,5,5,4,3,4,3,5,4,5,4,3,4,4,4,4,6,3
9,3,2,3,4,3,2,4,3,6,6,2,3,4,4,5,4,3,3,5,5,4,4,4,5,4,4,1,4,3,5
22,3,4,4,4,4,4,3,3,4,5,7,7,5,5,5,4,4,2,1,5,4,5,5,4,4,6,5,5,1,4
5,3,2,2,2,3,4,3,4,5,5,2,1,5,5,2,5,2,1,5,1,3,3,2,1,5,4,2,5,3,6
24,2,3,2,3,3,3,3,2,5,4,5,4,4,4,4,3,3,3,3,4,2,2,4,4,3,3,3,3,3,5
23,4,4,4,3,4,1,4,4,6,5,6,5,5,5,2,3,5,2,1,4,4,2,3,2,5,5,3,4,5,6
17,4,4,4,4,1,3,4,3,6,6,7,4,4,5,3,4,4,5,4,5,2,4,4,4,5,3,6,4,5,4
20,4,3,3,2,1,4,4,4,4,5,7,3,5,3,4,4,1,3,4,5,4,2,5,4,5,5,4,2,5,5
41,3,3,4,4,4,3,4,3,5,5,5,6,2,4,5,4,5,3,5,4,4,3,4,3,5,4,4,4,6,5
36,3,4,4,3,4,4,3,4,4,7,7,7,3,3,3,5,4,4,5,4,5,2,4,4,4,5,5,6,3,5
44,4,4,2,2,1,1,1,3,4,4,5,5,2,1,5,3,4,2,2,2,2,1,3,3,3,3,5,5,3,5
5,1,3,2,1,3,4,1,4,5,7,1,1,3,2,3,5,3,5,5,4,3,5,4,3,2,6,2,4,2,3
42,3,4,4,4,3,4,4,4,5,5,6,6,3,5,3,5,1,4,4,5,5,4,4,4,3,4,4,5,5,4
10,3,2,3,4,4,3,1,3,7,3,2,2,5,5,3,4,1,1,4,3,5,5,4,3,1,4,4,2,2,4
19,3,3,2,3,1,3,2,3,6,3,5,6,5,4,2,5,5,4,3,4,3,3,4,4,6,4,6,6,6,5
15,1,3,1,2,1,1,3,3,2,2,3,3,1,2,3,3,4,1,1,3,1,1,3,3,2,2,3,6,2,6
21,2,1,2,4,2,1,1,2,5,3,5,2,2,3,1,2,1,2,5,5,5,1,3,3,1,5,1,1,2,7
30,4,4,2,3,4,2,4,3,5,3,6,7,4,2,5,3,1,5,3,5,4,4,4,4,4,3,5,3,5,5
21,3,3,4,4,4,4,4,3,5,4,6,5,4,5,5,4,3,4,2,4,4,3,4,4,4,4,5,6,6,6
45,4,1,4,4,2,2,3,4,5,5,5,6,4,5,3,5,5,1,5,2,4,3,3,3,6,3,3,6,1,5
16,2,3,3,1,1,1,2,3,4,3,2,2,1,2,1,4,2,1,4,4,3,2,3,3,4,2,2,2,1,4
37,3,4,3,4,3,3,4,3,6,2,6,7,4,5,2,3,4,5,5,5,4,4,2,2,4,6,4,5,5,4
38,1,4,4,2,4,4,4,4,3,3,4,3,5,1,4,4,3,3,1,2,5,3,3,3,4,3,3,5,5,7
14,2,3,3,3,4,4,4,3,5,4,7,4,4,5,4,3,4,5,3,3,4,3,2,2,3,6,3,6,3,4
28,4,4,3,4,4,4,3,2,3,5,6,6,4,2,4,2,4,3,5,5,5,5,4,4,2,5,2,5,2,6
7,2,4,2,2,3,2,1,4,6,6,2,3,5,4,2,5,5,3,5,2,4,4,4,3,3,5,5,5,2,7
16,4,2,2,4,3,3,3,3,3,5,5,3,4,5,4,4,5,4,2,5,4,3,4,3,3,4,6,5,5,6
3,2,1,3,4,2,1,3,2,6,4,2,4,4,3,3,3,3,1,4,5,5,3,4,4,5,3,3,4,4,5
11,2,4,4,4,1,3,1,4,6,4,3,1,3,3,4,4,4,2,5,4,4,5,4,4,2,5,3,5,2,5
9,1,3,4,2,1,3,2,3,7,7,4,3,2,4,3,3,3,5,2,3,5,5,4,4,4,3,4,4,3,4
24,3,3,2,3,3,3,4,1,4,2,5,5,5,4,4,2,5,4,5,5,2,3,3,3,1,6,5,5,6,3
20,3,3,4,4,4,2,4,3,4,2,3,6,2,5,5,3,5,5,5,4,4,4,5,5,6,5,3,6,5,3
25,3,2,3,2,2,4,3,4,3,5,4,4,3,2,4,5,5,2,5,3,2,2,4,4,3,4,3,2,2,7
4,1,2,1,1,1,3,4,3,6,5,1,5,4,4,5,4,4,5,1,5,4,2,4,3,2,3,2,3,1,6
10,1,1,2,2,1,2,4,4,6,7,3,3,1,5,5,3,5,1,5,3,3,4,5,4,4,6,4,3,4,4
26,1,1,2,1,3,1,2,4,1,4,1,3,2,4,1,5,2,3,4,1,2,3,3,2,3,2,6,1,2,5
15,1,2,1,1,3,3,4,4,3,2,6,3,3,2,3,4,2,3,1,2,3,1,5,5,5,6,1,2,6,5
7,3,2,2,2,2,3,2,4,5,6,2,2,3,4,2,5,4,2,5,1,5,2,4,4,3,5,6,5,2,4
26,3,3,2,3,3,3,2,2,4,6,5,5,4,2,5,3,1,2,4,5,3,3,5,4,4,5,6,4,2,5
44,4,4,3,3,3,4,3,3,4,3,7,7,5,2,4,5,4,5,4,3,4,3,3,3,6,4,6,4,3,5
38,3,1,3,4,4,4,4,3,4,3,4,5,4,3,4,3,4,4,4,5,4,3,3,4,4,4,4,1,3,5
40,2,3,3,4,3,4,2,4,5,6,7,5,3,4,3,5,1,2,5,5,3,5,4,4,2,3,3,5,2,5
7,1,3,2,1,1,2,4,4,6,5,2,1,5,5,5,5,5,5,2,4,4,5,4,3,4,1,5,4,5,5
22,2,2,3,1,1,1,1,2,2,1,2,2,3,1,2,1,1,2,5,2,4,3,3,3,1,1,4,3,5,6
28,3,4,4,4,3,4,4,4,3,7,6,5,3,4,3,4,4,4,5,3,5,4,5,4,5,4,4,5,4,5
22,1,1,4,3,1,2,1,2,2,1,1,4,3,2,4,2,4,3,1,4,1,1,3,4,1,3,5,2,5,6
39,2,3,4,3,2,1,2,4,3,4,4,5,3,4,4,5,4,5,1,3,3,3,4,3,1,4,2,3,5,3
5,3,2,1,4,3,2,3,4,7,6,2,1,5,4,5,5,3,3,3,5,5,4,3,3,2,1,2,4,3,6
30,4,4,4,3,4,4,3,3,5,6,7,6,4,3,5,4,4,4,3,5,4,4,4,3,3,4,5,4,6,3
5,1,1,3,2,2,3,1,4,7,5,3,3,4,1,5,5,3,3,5,3,3,4,5,5,4,5,1,3,5,6
32,4,4,4,3,4,4,1,1,4,2,7,4,5,4,5,3,3,4,4,4,4,2,4,4,5,6,6,3,6,3
6,1,1,4,4,2,1,2,4,6,7,1,4,5,2,5,4,3,3,4,1,4,2,2,2,6,5,3,4,2,6
37,3,3,4,2,4,2,4,3,7,5,7,6,4,2,5,4,3,5,5,3,3,4,2,2,3,3,4,5,3,3
13,1,3,4,3,1,1,2,2,4,4,1,3,1,3,1,1,1,1,4,1,3,1,2,1,3,4,1,1,2,5
40,2,1,3,4,2,2,4,4,4,4,5,5,4,3,4,5,2,4,3,3,4,4,4,4,3,3,3,4,5,6
7,2,2,1,1,1,2,3,4,5,6,2,2,5,4,3,4,5,3,4,5,4,5,3,3,3,3,4,1,3,6
33,4,4,3,3,3,4,4,4,5,5,6,5,4,5,5,4,5,4,4,3,3,5,5,4,5,3,6,4,4,3
4,2,4,3,2,4,3,2,4,4,6,2,2,4,4,3,5,4,2,1,5,4,5,4,5,4,4,4,3,5,6
16,4,2,4,3,1,3,3,4,5,3,6,5,5,4,5,5,5,1,3,5,2,3,3,3,3,4,3,2,3,5
7,3,2,4,2,2,4,3,3,5,5,2,1,5,4,2,4,5,2,1,3,5,5,3,3,5,3,5,2,2,5
18,4,4,3,1,4,2,3,4,6,4,6,3,2,4,5,5,5,5,5,4,4,4,5,5,6,4,6,4,6,6
7,3,3,1,3,3,2,1,3,4,7,2,2,3,4,4,3,5,5,5,5,5,4,3,2,2,3,2,4,3,6
23,4,2,4,4,3,4,4,4,4,5,7,6,5,4,5,4,2,2,2,4,3,3,2,2,5,3,2,4,3,4
45,4,3,4,2,3,4,3,4,4,4,5,4,4,5,3,4,5,2,3,4,2,5,5,5,3,5,4,3,5,7
48,3,4,3,3,4,4,2,2,2,4,7,5,4,5,4,3,5,4,2,4,2,3,4,5,4,4,6,6,5,6
27,4,2,3,4,4,2,3,3,1,4,7,5,3,5,3,4,5,5,5,3,3,5,3,3,6,3,6,5,4,4
22,3,4,3,1,1,1,1,1,1,1,3,3,2,1,4,1,2,3,2,5,1,2,5,5,1,3,6,2,1,6
18,4,4,4,4,2,1,3,4,4,4,5,5,3,2,4,4,3,5,4,4,3,5,5,5,6,6,3,5,6,1
6,2,1,3,3,3,4,4,4,6,5,4,1,3,3,5,5,5,3,3,5,3,1,4,5,5,4,4,3,3,5
29,4,2,2,3,2,1,3,1,3,4,1,2,2,3,2,2,3,3,1,1,3,2,3,2,1,2,1,6,5,4
4,3,2,3,3,1,1,3,4,7,5,3,2,5,1,5,5,5,5,4,4,4,4,3,4,2,3,1,3,2,4
4,3,4,3,2,4,2,2,4,7,7,1,3,5,4,4,5,3,3,1,2,4,5,5,5,5,4,3,3,1,5
3,3,1,4,4,1,1,3,2,5,6,1,2,5,4,5,4,4,3,4,3,4,3,4,5,5,4,2,3,2,4
30,4,4,3,3,1,4,3,3,5,2,4,6,4,5,4,4,4,5,4,4,5,2,3,3,4,6,3,4,2,7
6,3,2,3,3,2,3,1,4,6,4,2,2,3,4,3,4,3,3,5,5,3,3,3,3,2,4,4,4,1,7
35,1,2,4,4,1,2,1,1,3,3,5,4,5,3,2,2,2,3,3,3,1,3,5,4,5,3,3,2,6,5
3,2,3,3,3,3,3,3,3,6,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5
6,2,3,2,3,3,4,2,4,6,6,2,2,4,5,5,5,3,3,4,3,3,4,3,3,2,1,2,1,3,4
38,3,3,4,4,4,4,3,4,4,4,4,5,3,4,5,5,4,3,5,5,4,4,3,1,6,5,5,6,6,4
26,2,2,3,3,3,2,3,3,6,6,5,4,4,4,4,3,4,4,4,4,4,3,5,4,4,5,5,4,5,5
15,1,3,1,2,2,3,4,4,5,4,3,5,4,5,2,5,4,5,4,3,1,2,4,3,4,4,5,5,3,4
4,3,1,2,3,4,2,1,1,7,5,2,2,2,5,5,1,1,5,2,5,5,3,2,2,6,3,3,2,2,5
37,4,4,4,4,4,4,2,3,4,6,6,5,4,5,4,4,5,4,5,3,5,3,3,3,5,5,6,6,3,4
2,3,4,1,2,2,4,2,4,6,6,2,5,3,2,5,5,1,2,4,5,3,2,4,3,4,2,1,1,4,6
33,4,4,3,4,3,4,3,4,4,5,6,7,5,5,4,4,4,5,5,4,3,3,3,3,5,5,3,6,4,2
3,1,1,2,4,1,4,3,4,7,4,2,3,5,2,3,5,4,3,4,5,5,5,4,2,3,2,3,3,1,6
3,1,1,2,1,3,4,2,3,5,5,1,3,4,4,5,3,3,5,2,4,5,5,5,5,3,4,2,4,4,6
20,2,3,3,2,1,4,3,3,6,5,6,4,3,4,1,3,3,5,5,5,4,2,3,3,4,4,3,5,3,6
22,1,1,1,2,1,3,2,1,5,1,2,2,2,2,1,1,1,1,1,2,1,3,4,3,3,2,4,1,1,6
38,3,2,1,2,2,1,4,4,7,3,1,5,3,3,3,5,2,3,3,5,4,3,4,4,3,4,4,4,4,5
36,4,4,1,4,1,4,2,4,5,4,4,7,5,5,4,4,4,4,5,3,4,3,4,3,6,4,5,2,6,5
46,4,2,2,1,4,4,2,4,4,1,4,5,3,1,4,4,4,2,5,4,1,2,2,1,2,4,5,6,5,6
48,3,1,3,2,1,1,4,4,3,5,5,5,3,3,5,5,2,3,4,3,3,2,3,3,4,6,2,4,2,4
26,4,4,3,4,4,4,4,4,4,5,4,5,5,4,2,5,4,4,5,4,4,5,3,3,4,4,4,6,4,3
29,3,3,4,1,4,4,4,4,5,4,3,5,5,4,4,5,5,4,1,5,4,4,3,3,6,2,4,4,6,7
47,4,4,3,2,4,3,2,4,5,7,5,7,5,5,4,5,5,5,5,4,5,5,5,5,5,5,6,4,4,3
47,3,3,2,4,1,2,3,4,4,2,3,4,2,4,2,5,1,1,2,3,3,1,3,2,5,4,4,4,5,7
35,4,3,1,4,2,3,3,4,6,5,6,6,3,5,4,5,4,5,4,4,3,5,4,2,6,2,4,4,6,3
47,4,4,1,4,3,4,3,4,5,6,4,6,5,2,4,5,1,4,4,5,5,3,3,3,6,3,6,4,3,6
12,1,2,4,3,3,2,1,4,5,3,5,3,1,5,4,5,2,2,4,1,2,5,5,4,3,4,6,3,3,6
13,3,4,2,3,4,3,4,4,5,6,7,6,4,4,4,5,2,5,5,3,4,5,3,3,6,2,6,4,5,3
14,2,2,1,1,2,2,1,2,1,2,3,1,4,2,3,2,1,1,3,2,2,3,4,3,3,1,4,3,3,7
7,2,2,2,1,4,3,4,3,7,5,1,1,2,5,3,4,5,5,3,5,4,5,3,4,1,1,4,2,5,6
24,4,2,4,4,3,4,2,4,5,5,5,6,5,4,4,5,5,3,3,5,4,3,4,4,6,6,5,5,4,4
36,4,4,4,2,4,1,1,3,5,4,5,3,4,5,5,3,3,5,4,5,4,4,3,3,5,6,5,5,5,5
17,1,2,1,1,3,3,1,4,5,5,3,4,4,4,3,4,4,2,1,2,1,5,2,3,3,2,3,1,1,6
26,1,2,1,1,3,2,4,2,1,3,1,4,2,3,4,2,3,2,1,5,4,3,3,4,2,2,2,2,2,5
26,3,4,2,3,1,2,3,3,3,2,4,4,3,2,4,4,2,5,5,4,4,4,5,5,6,3,4,4,5,1
37,4,4,3,3,4,2,2,4,2,5,4,6,4,4,3,5,4,3,5,3,5,4,3,4,3,3,4,2,4,3
17,3,2,2,3,4,4,4,4,5,3,6,7,2,3,5,5,4,3,5,4,4,4,4,4,5,5,6,4,4,4
44,4,2,4,2,4,4,4,4,3,3,4,7,4,3,4,5,5,4,3,4,4,2,3,3,4,1,5,6,5,5
24,4,2,3,3,2,4,1,4,5,5,4,5,5,3,5,5,2,5,3,5,3,5,3,4,4,3,6,1,5,6
21,1,1,3,1,1,1,2,1,3,1,4,1,3,2,1,1,4,2,1,3,3,2,3,3,3,2,1,1,1,2
15,3,4,1,3,4,2,1,2,2,5,4,5,3,5,3,2,5,2,5,5,1,2,3,1,4,1,4,4,4,5
36,3,2,4,3,3,4,4,4,2,5,7,4,5,5,4,5,2,5,3,4,2,4,3,1,3,6,4,6,6,4
17,3,3,4,3,4,4,2,1,7,4,6,4,3,4,5,3,5,5,4,5,4,3,4,3,5,4,6,4,3,3
5,2,3,2,3,3,3,3,3,5,4,5,4,3,3,3,3,2,2,2,2,3,3,4,4,3,3,3,2,2,5
