interaction,f1,f2,coef,pval,r2,abs_coef
家庭支持×开放性,家庭支持,开放性,0.5798149383888673,0.03503268326063821,0.6888710025879823,0.5798149383888673
文化接触×开放性,文化接触,开放性,0.5305470373802664,0.02117277180776215,0.691876862678919,0.5305470373802664
家庭支持×来港时长,家庭支持,来港时长,0.5225004306703784,0.057656679960555464,0.6859371863433084,0.5225004306703784
社会接触×开放性,社会接触,开放性,0.5087989503036527,0.046381294219115694,0.687212361251758,0.5087989503036527
社会接触×来港时长,社会接触,来港时长,-0.4539435678013277,0.07211723754904312,0.684638393672742,0.4539435678013277
文化保持×开放性,文化保持,开放性,0.4427868239363465,0.05932996306373874,0.6857703871787976,0.4427868239363465
社会联结感×开放性,社会联结感,开放性,0.42475183230786795,0.1435375760431088,0.6807581622053089,0.42475183230786795
家庭沟通频率×自主权,家庭沟通频率,自主权,-0.3926937612546757,0.050465325316591196,0.6867165617356097,0.3926937612546757
自主权×开放性,自主权,开放性,0.3504078651551196,0.13264747879859073,0.6811916820042696,0.3504078651551196
家庭沟通频率×开放性,家庭沟通频率,开放性,-0.3465681672029814,0.17046517152462332,0.6798266837676477,0.3465681672029814
文化保持×社会接触,文化保持,社会接触,0.34087044968714736,0.12953802204695977,0.6813226936072141,0.34087044968714736
社会保持×来港时长,社会保持,来港时长,0.3357251637581893,0.20651579807205028,0.6788121398159841,0.3357251637581893
自主权×来港时长,自主权,来港时长,0.33494961016282904,0.28195986754778835,0.6772362505856143,0.33494961016282904
沟通坦诚度×来港时长,沟通坦诚度,来港时长,0.3343015617637499,0.2342628962276662,0.6781623267691002,0.3343015617637499
社会保持×社会接触,社会保持,社会接触,0.32282316423406177,0.17378253448441436,0.6797234987115369,0.32282316423406177
社会接触×家庭支持,社会接触,家庭支持,0.31822432902875253,0.1244500245700272,0.6815446880447965,0.31822432902875253
沟通坦诚度×自主权,沟通坦诚度,自主权,-0.30516379063176685,0.09392789687434575,0.683125240879355,0.30516379063176685
文化接触×沟通坦诚度,文化接触,沟通坦诚度,-0.30322923902150145,0.16092031544437083,0.6801367103780749,0.30322923902150145
文化接触×家庭沟通频率,文化接触,家庭沟通频率,-0.2975590982709384,0.14154973161919127,0.6808345254465191,0.2975590982709384
文化保持×来港时长,文化保持,来港时长,0.2724905969776851,0.29360465217823145,0.6770392893631215,0.2724905969776851
文化保持×自主权,文化保持,自主权,-0.2703805234503669,0.1540149219086448,0.6803741776608165,0.2703805234503669
家庭沟通频率×来港时长,家庭沟通频率,来港时长,0.2660844563697993,0.3861689851071573,0.6757664569846978,0.2660844563697993
社会保持×自主权,社会保持,自主权,-0.261633182038184,0.2318027476333434,0.6782161720249409,0.261633182038184
家庭沟通频率×社会联结感,家庭沟通频率,社会联结感,0.2556996848064077,0.2709662742520775,0.6774317545406451,0.2556996848064077
开放性×来港时长,开放性,来港时长,0.25257377887841526,0.398730707378545,0.6756257951978264,0.25257377887841526
社会保持×开放性,社会保持,开放性,0.23023460801314247,0.3447583249700221,0.676279327125155,0.23023460801314247
社会保持×社会联结感,社会保持,社会联结感,0.22093718839291582,0.29414827426026635,0.6770303356581637,0.22093718839291582
社会接触×社会联结感,社会接触,社会联结感,0.2068898892967494,0.4008837575651829,0.6756023201839989,0.2068898892967494
社会保持×文化接触,社会保持,文化接触,0.20533375271327894,0.34729781822962447,0.6762455036558908,0.20533375271327894
文化接触×来港时长,文化接触,来港时长,-0.19591557394920275,0.461162993176302,0.675012432886783,0.19591557394920275
文化保持×社会保持,文化保持,社会保持,-0.1769553513083993,0.39922489094778985,0.6756203909746615,0.1769553513083993
文化接触×家庭支持,文化接触,家庭支持,0.1746559506722511,0.4330872863117976,0.6752718034225382,0.1746559506722511
家庭支持×社会联结感,家庭支持,社会联结感,0.16049123788935127,0.4228716586600673,0.6753726175597172,0.16049123788935127
沟通坦诚度×开放性,沟通坦诚度,开放性,-0.15928332783646607,0.5467811267434728,0.6743583453784294,0.15928332783646607
家庭沟通频率×沟通坦诚度,家庭沟通频率,沟通坦诚度,0.1463724338986787,0.45886071115405197,0.675032772695803,0.1463724338986787
文化保持×文化接触,文化保持,文化接触,0.1300676451608862,0.5230100399589809,0.6745214430635422,0.1300676451608862
家庭支持×自主权,家庭支持,自主权,-0.1270794274834858,0.427575601215116,0.6753257488339087,0.1270794274834858
家庭支持×沟通坦诚度,家庭支持,沟通坦诚度,-0.11270821668857955,0.5558833703908799,0.6742992776260174,0.11270821668857955
家庭支持×家庭沟通频率,家庭支持,家庭沟通频率,0.11201745176851974,0.6181749086863914,0.6739408487607881,0.11201745176851974
文化保持×家庭支持,文化保持,家庭支持,-0.11059895484319782,0.575416064096415,0.6741785185500626,0.11059895484319782
社会联结感×来港时长,社会联结感,来港时长,-0.10145839558321423,0.7385046686523037,0.6734413833300084,0.10145839558321423
沟通坦诚度×社会联结感,沟通坦诚度,社会联结感,0.10109880039115493,0.6276231337661925,0.6738929634871182,0.10109880039115493
社会保持×家庭支持,社会保持,家庭支持,-0.10064948528164025,0.6210495325517501,0.6739261091074373,0.10064948528164025
社会保持×家庭沟通频率,社会保持,家庭沟通频率,0.0976339032498481,0.7028857087891571,0.6735655667099775,0.0976339032498481
文化接触×自主权,文化接触,自主权,0.08778868883896115,0.6994760938752036,0.6735784417966705,0.08778868883896115
文化保持×沟通坦诚度,文化保持,沟通坦诚度,-0.08449558756809467,0.6957431040995465,0.6735927411526464,0.08449558756809467
文化保持×家庭沟通频率,文化保持,家庭沟通频率,-0.0758023689893948,0.7717523632190032,0.6733417718079378,0.0758023689893948
文化接触×社会接触,文化接触,社会接触,0.07440777781165692,0.720586459456661,0.6735015299987035,0.07440777781165692
社会接触×家庭沟通频率,社会接触,家庭沟通频率,0.06862292657876563,0.7512191204571504,0.6734014800308994,0.06862292657876563
社会接触×沟通坦诚度,社会接触,沟通坦诚度,0.05646670231711515,0.7992168029379052,0.6732707800613471,0.05646670231711515
社会接触×自主权,社会接触,自主权,0.05188633270081355,0.8257903695196187,0.6732114394768264,0.05188633270081355
文化接触×社会联结感,文化接触,社会联结感,0.0513692695384958,0.8209858572535775,0.6732215009735395,0.0513692695384958
文化保持×社会联结感,文化保持,社会联结感,-0.048088939489035976,0.8313147529658382,0.6732002301300684,0.048088939489035976
自主权×社会联结感,自主权,社会联结感,0.03870960706755021,0.8448951038232836,0.6731742964554905,0.03870960706755021
社会保持×沟通坦诚度,社会保持,沟通坦诚度,0.012494739275253672,0.9543999587311484,0.67304645134482,0.012494739275253672
